Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
07:35:05,277,8,17728000,512000000,310.57,1892.38,310.38,679,54.71,1.58,3501297.95,101425859.93,100%,100%,0,0,0
07:35:10,527,104,33728000,6656000000,291.31,2313.31,291.11,794.14,96.71,16.31,6189639.78,1043750416.16,100%,100%,1,1,1
07:35:15,640,80,40960000,5120000000,311.81,2490.85,311.65,962.82,151.29,13.76,9682328.6,880823349.44,100%,100%,2,2,2
07:35:20,600,63,38400000,4032000000,357.9,2892.49,357.72,981.46,117,11.93,7487986.89,763772799.13,100%,100%,3,3,3
07:35:25,624,74,39936000,4736000000,350.24,3074.41,350.09,1236.57,125.27,15.4,8017556.02,985382087.9,100%,100%,4,4,4
07:35:30,575,74,36800000,4736000000,339.74,2899.23,339.5,1072.96,106.09,12.75,6789923.56,816230343.24,100%,100%,5,5,5
07:35:35,556,70,35584000,4480000000,373.91,3007.74,373.75,1140.36,137.8,12.96,8818917.04,829408821.13,100%,100%,6,6,6
07:35:40,410,38,26240000,2432000000,274.16,3332.82,273.99,1180.89,142.07,8.03,9092799.93,513861364.44,100%,100%,7,7,7
07:35:45,273,78,17472000,4992000000,266.79,3204.17,266.6,1044.92,104.64,18.2,6696966.3,1164748949.48,100%,100%,8,8,8
07:35:50,36,86,2304000,5504000000,322.61,2461.16,322.36,749.8,60.08,14.73,3845405.98,942570551.33,100%,100%,9,9,9
07:35:55,26,71,1664000,4544000000,228,2652.62,227.73,958.77,47.17,13.96,3018866.64,893383321.29,100%,100%,9,9,10
07:36:00,26,99,1664000,6336000000,228,2454.83,227.73,859.21,47.17,19.46,3018866.64,1245533764.51,100%,100%,9,10,11
07:36:05,26,98,1664000,6272000000,228,1949.14,227.73,703.29,47.17,16.34,3018866.64,1046033979.55,100%,100%,9,10,12
07:36:10,26,82,1664000,5248000000,228,2128.84,227.73,729.99,47.17,17.33,3018866.64,1108832487.28,100%,100%,9,11,13
07:36:15,26,89,1664000,5696000000,228,2287.24,227.73,721.69,47.17,19.75,3018866.64,1263806879.57,100%,100%,9,11,14
07:36:20,26,84,1664000,5376000000,228,2086.57,227.73,845.89,47.17,16.31,3018866.64,1043966095.28,100%,100%,9,12,15
07:36:25,26,83,1664000,5312000000,228,2698.81,227.73,956.88,47.17,16.79,3018866.64,1074482735.51,100%,100%,9,12,16
07:36:30,26,106,1664000,6784000000,228,2248.24,227.73,830.29,47.17,20.41,3018866.64,1306032897.86,100%,100%,9,13,17
07:36:35,26,85,1664000,5440000000,228,2126.2,227.73,829.11,47.17,14.92,3018866.64,954854619.16,100%,100%,9,13,18
07:36:40,26,75,1664000,4800000000,228,2157.48,227.73,752.27,47.17,17.02,3018866.64,1089128606.81,100%,100%,9,14,19
07:36:45,26,81,1664000,5184000000,228,2624.27,227.73,1000.83,47.17,16.53,3018866.64,1057876392.43,100%,100%,9,14,20
07:36:50,26,74,1664000,4736000000,228,2622.23,227.73,916.97,47.17,14.3,3018866.64,915095322.59,100%,100%,9,15,21
07:36:55,26,64,1664000,4096000000,228,2877.28,227.73,1028.16,47.17,12.82,3018866.64,820618500.99,100%,100%,9,15,22
07:37:00,26,97,1664000,6208000000,228,2329.21,227.73,732.38,47.17,20.6,3018866.64,1318133570.57,100%,100%,9,16,23
07:37:05,26,108,1664000,6912000000,228,2001.48,227.73,651.38,47.17,19.6,3018866.64,1254385767.48,100%,100%,9,16,24
07:37:10,26,81,1664000,5184000000,228,2111.46,227.73,747.91,47.17,16.74,3018866.64,1071195418.49,100%,100%,9,17,25
07:37:15,26,71,1664000,4544000000,228,2833.38,227.73,966.1,47.17,14.81,3018866.64,948025032.19,100%,100%,9,17,26
07:37:20,26,79,1664000,5056000000,228,3048.75,227.73,959.41,47.17,14.65,3018866.64,937606500.66,100%,100%,9,18,27
07:37:25,26,83,1664000,5312000000,228,2301.81,227.73,785.77,47.17,15.62,3018866.64,999596735.05,100%,100%,9,18,28
07:37:30,26,72,1664000,4608000000,228,2334.07,227.73,793.72,47.17,15.89,3018866.64,1016759779.04,100%,100%,9,19,29
07:37:35,26,96,1664000,6144000000,228,2230.23,227.73,789.77,47.17,20.72,3018866.64,1325862181.88,100%,100%,9,19,30
07:37:40,26,91,1664000,5824000000,228,2122.16,227.73,757.88,47.17,17.7,3018866.64,1132927236.73,100%,100%,9,20,31
07:37:45,26,86,1664000,5504000000,228,2647.85,227.73,1093.43,47.17,15.93,3018866.64,1019233678.84,100%,100%,9,20,32
07:37:50,26,62,1664000,3968000000,228,2547.82,227.73,840.81,47.17,12.63,3018866.64,808462572.38,100%,100%,9,21,33
07:37:55,26,97,1664000,6208000000,228,2383.29,227.73,780.89,47.17,21.23,3018866.64,1358943458.69,100%,100%,9,21,34
07:38:00,26,88,1664000,5632000000,228,2424.61,227.73,793.09,47.17,16.42,3018866.64,1050642963.82,100%,100%,9,22,35
07:38:05,26,95,1664000,6080000000,228,1957.88,227.73,672.87,47.17,18.3,3018866.64,1171015644.14,100%,100%,9,22,36
07:38:10,26,76,1664000,4864000000,228,2234,227.73,693.62,47.17,15.84,3018866.64,1013714943.44,100%,100%,9,23,37
07:38:15,26,96,1664000,6144000000,228,2329.53,227.73,958.7,47.17,20.35,3018866.64,1302662389.85,100%,100%,9,23,38
